song_id,title,artist,mood,rating,youtube_id,mood_source
bw_0257,Bheegi Bheegi Si Hain Raaten,James,Surprise,4.5,WeY9hdsmIaQ,fallback
bw_0258,Kitni Der Tak,Sonu Nigam,Surprise,4.5,J9guWrkTaik,fallback
bw_0259,O Meri Jaan (Reprise),Suhail Kaul,Surprise,4.5,jZi8TI050ec,fallback
bw_0260,Sindbad The Sailor,Farhan Akhtar,Surprise,4.5,eY62RfeviuE,fallback
bw_0261,Aankh Micholi,Amit Trivedi,Surprise,4.5,8CJtBJStgYo,fallback
bw_0262,Chaand Ki Katori,Harshdeep Kaur,Surprise,4.5,PgiP7yQm3B8,fallback
bw_0263,Gubbare,Amit Trivedi,Surprise,4.5,XanTuIWUEQ0,fallback
bw_0264,Luni Hasi (Female Version),Harshdeep Kaur,Surprise,4.5,87XsJ4d-Fgo,fallback
bw_0265,Barsan Laage Nain,Vasuda Sharma,Surprise,4.5,6NqIijYAUKk,fallback
bw_0266,Dhadkan Dhadkan Dhadak Raha Hai,Jagjit Singh,Surprise,4.5,AOfw5Ej0Ac0,fallback
bw_0267,Patakha Guddi (Female Version),Nooran Sisters,Surprise,4.5,cprez2G15LI,fallback
bw_0268,Aayat Ki Tarah,Arijit Singh,Surprise,4.5,85LA5CKMW_I,fallback
bw_0269,Sooraj Dooba Hai Yaaro,Arijit Singh,Surprise,4.5,nJZcbidTutE,fallback
bw_0270,Ullu Ka Pattha,Arijit Singh,Surprise,4.5,h2GhQBI5YGw,fallback
bw_0271,Ghoomar Ghoomar Ghoomar Ghoomar Ghoome Re,Shreya Ghoshal,Surprise,4.5,6cKErCWrb44,fallback
bw_0272,Shayad Kabhi Na Kah Sakoon Main (Jo Tum Na Ho),Arijit Singh,Surprise,4.5,MJyKN-8UncM,fallback
bw_0273,Varaha Roopam Daiva Va Rishtam,Sai Vignesh,Surprise,4.5,gH_RYRwVrVM,fallback
bw_0274,Qubool,Armaan Khan,Surprise,4.5,XZjTVt0ilxw,fallback
bw_0275,Yaariyaan,K. Mohan,Surprise,4.4,RIGTU4yWLd0,fallback
bw_0276,Matargashti,Mohit Chauhan,Surprise,4.4,6vKucgAeF_Q,fallback
bw_0277,Jabaan Pe Laaga Laaga Re Namak Isk Ka,Rekha Bhardwaj,Surprise,4.33,5WB8ujhAK7c,fallback
