tmdb_id,imdb_id,title,year,rating,genres,overview,poster_path,mood
185,tt0066921,A Clockwork Orange,1971,8.2,"Drama, Science Fiction","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,Neutral
324786,tt2119532,Hacksaw Ridge,2016,8.2,"Drama, History, War","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",/jcStBvbQt78tPeId5hC7a9jcDOK.jpg,Neutral
103,tt0075314,Taxi Driver,1976,8.2,"Crime, Drama",A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,Neutral
68718,tt1853728,Django Unchained,2012,8.2,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,Neutral
3082,tt0027977,Modern Times,1936,8.3,"Comedy, Drama",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,Neutral
475557,tt7286456,Joker,2019,8.2,"Crime, Drama, Thriller","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,Neutral
629,tt0114814,The Usual Suspects,1995,8.2,"Crime, Drama, Thriller","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,Neutral
50014,tt1454029,The Help,2011,8.2,Drama,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,Neutral
791373,tt12361974,Zack Snyder's Justice League,2021,8.2,"Action, Adventure, Fantasy","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,Neutral
1585,tt0038650,It's a Wonderful Life,1946,8.3,"Drama, Family, Fantasy","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",/mV3VcmMJN6Zwahj42dy9WwPUyRI.jpg,Neutral
1422,tt0407887,The Departed,2006,8.2,"Crime, Drama, Thriller","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",/nT97ifVT2J1yMQmeq20Qblg61T.jpg,Neutral
599,tt0043014,Sunset Boulevard,1950,8.3,Drama,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,Neutral
872585,tt15398776,Oppenheimer,2023,8.3,"Drama, History",The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,Neutral
398818,tt5726616,Call Me by Your Name,2017,8.2,"Drama, Romance","In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,Neutral
111,tt0086250,Scarface,1983,8.2,"Action, Crime, Drama","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,Neutral
508965,tt4729430,Klaus,2019,8.2,"Adventure, Animation, Comedy, Family, Fantasy","When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,Neutral
489,tt0119217,Good Will Hunting,1997,8.1,Drama,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,Neutral
